epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.1969,1.26222,2.45618,1.14534,0.95641,0.84389,0.93329,0.59446,1.26984,2.38091,1.01052,0.000660194,0.000660194,0.000660194
2,60.0726,1.30358,1.9954,1.13258,0.8311,0.84615,0.87898,0.49634,1.35017,1.70286,1.10693,0.00130059,0.00130059,0.00130059
3,87.2486,1.30672,1.77135,1.15286,0.80395,0.88462,0.8818,0.51578,1.37781,1.70346,1.25099,0.00191458,0.00191458,0.00191458
4,113.983,1.31649,1.58037,1.20867,0.62162,0.8425,0.62641,0.39941,1.28377,1.99591,1.22206,0.0018812,0.0018812,0.0018812
5,139.23,1.32198,1.4021,1.20772,0.89033,0.93669,0.97335,0.65163,1.16757,1.15222,1.15943,0.0018416,0.0018416,0.0018416
6,165.048,1.24639,1.19759,1.18564,0.9805,0.96154,0.98143,0.62811,1.26577,0.96033,1.19658,0.001802,0.001802,0.001802
7,190.992,1.24709,1.17243,1.18952,0.70744,0.9359,0.81343,0.51466,1.19699,1.10299,1.14573,0.0017624,0.0017624,0.0017624
8,216.94,1.21073,1.01745,1.15276,0.9969,0.97436,0.98898,0.67772,1.13109,0.80432,1.13747,0.0017228,0.0017228,0.0017228
9,243.026,1.20607,0.93105,1.14988,0.96754,0.9359,0.97651,0.66655,1.12084,0.7972,1.1185,0.0016832,0.0016832,0.0016832
10,268.491,1.19366,0.93237,1.17946,0.97071,0.96154,0.98447,0.65478,1.13162,0.72279,1.13561,0.0016436,0.0016436,0.0016436
11,294.508,1.17411,0.86337,1.14631,0.9405,0.94872,0.95358,0.62029,1.18544,0.76279,1.139,0.001604,0.001604,0.001604
12,320.497,1.2686,0.89627,1.18398,0.9149,0.96491,0.95698,0.65314,1.13074,0.81236,1.11262,0.0015644,0.0015644,0.0015644
13,346.396,1.11509,0.81432,1.10891,0.94972,0.96875,0.98467,0.68449,1.14016,0.65921,1.08558,0.0015248,0.0015248,0.0015248
14,372.476,1.11512,0.75453,1.10704,1,0.96907,0.98911,0.69457,1.09389,0.60552,1.07608,0.0014852,0.0014852,0.0014852
15,398.347,1.14934,0.77697,1.12787,0.98694,0.96861,0.99265,0.68026,1.11154,0.62471,1.11443,0.0014456,0.0014456,0.0014456
16,424.144,1.15937,0.75235,1.1278,0.96967,0.98718,0.97336,0.66692,1.12219,0.60603,1.08228,0.001406,0.001406,0.001406
17,449.799,1.10155,0.7004,1.08895,0.96766,0.98718,0.98284,0.68737,1.09463,0.59147,1.08026,0.0013664,0.0013664,0.0013664
18,475.687,1.1415,0.70986,1.111,0.96937,0.98718,0.98354,0.69484,1.04444,0.58746,1.04242,0.0013268,0.0013268,0.0013268
19,501.331,1.07497,0.67392,1.08779,0.98305,0.98718,0.98442,0.71695,1.02176,0.55531,1.04317,0.0012872,0.0012872,0.0012872
20,526.691,1.05015,0.67085,1.08663,0.99226,0.98718,0.99475,0.69526,1.07968,0.5589,1.09133,0.0012476,0.0012476,0.0012476
21,552.094,1.0952,0.67767,1.11086,0.98485,0.98718,0.99475,0.6839,1.13564,0.56055,1.07852,0.001208,0.001208,0.001208
22,578.03,1.08109,0.61246,1.07324,0.99528,1,0.995,0.68318,1.13928,0.53671,1.09473,0.0011684,0.0011684,0.0011684
23,603.469,1.05929,0.62899,1.07795,0.95727,1,0.98464,0.68849,1.08308,0.56405,1.06934,0.0011288,0.0011288,0.0011288
24,629.147,1.04348,0.61501,1.08347,0.99081,1,0.995,0.69575,1.03538,0.53725,1.05064,0.0010892,0.0010892,0.0010892
25,654.578,1.04525,0.61358,1.07882,0.98389,0.98718,0.99438,0.70947,1.02117,0.52874,1.04222,0.0010496,0.0010496,0.0010496
26,679.908,1.02287,0.63591,1.05814,0.98731,0.99748,0.99487,0.73638,0.99707,0.50092,1.0399,0.00101,0.00101,0.00101
27,705.659,1.05354,0.60418,1.06834,0.97352,0.98718,0.99263,0.7179,1.02785,0.52295,1.06984,0.0009704,0.0009704,0.0009704
28,731.318,1.0459,0.58826,1.07781,0.96219,0.98718,0.98465,0.71602,1.03504,0.52141,1.07497,0.0009308,0.0009308,0.0009308
29,756.42,0.99612,0.5845,1.05129,0.9974,0.98718,0.98956,0.71561,1.02409,0.50704,1.05505,0.0008912,0.0008912,0.0008912
30,781.589,1.02187,0.59047,1.04827,0.99581,0.98718,0.98745,0.73966,0.99698,0.49918,1.03586,0.0008516,0.0008516,0.0008516
31,806.999,1.00491,0.55684,1.0462,0.99383,0.97436,0.98651,0.71714,1.01266,0.47316,1.04153,0.000812,0.000812,0.000812
32,832.708,1.00522,0.56636,1.04959,1,0.99955,0.995,0.73299,1.0068,0.48537,1.04831,0.0007724,0.0007724,0.0007724
33,857.401,1.00631,0.55272,1.06008,0.96757,0.98718,0.99297,0.72222,1.04214,0.48408,1.05315,0.0007328,0.0007328,0.0007328
34,882.261,0.96936,0.54062,1.02928,0.97882,1,0.99462,0.73099,0.99903,0.48451,1.03394,0.0006932,0.0006932,0.0006932
35,907.037,0.98617,0.52349,1.04,0.97401,0.98718,0.99036,0.7455,0.97477,0.436,1.01471,0.0006536,0.0006536,0.0006536
36,931.863,0.98891,0.53244,1.03269,0.97355,1,0.99462,0.73985,0.9717,0.46982,1.02123,0.000614,0.000614,0.000614
37,956.435,0.98653,0.53784,1.03447,1,0.99727,0.995,0.73758,0.97973,0.46306,1.0356,0.0005744,0.0005744,0.0005744
38,981.351,0.96699,0.51637,1.04098,0.99747,1,0.995,0.7439,0.98453,0.43611,1.01371,0.0005348,0.0005348,0.0005348
39,1007.04,0.96794,0.51493,1.03258,0.99845,1,0.995,0.73846,0.99964,0.43159,1.05158,0.0004952,0.0004952,0.0004952
40,1031.8,0.9413,0.51057,1.0408,0.99842,1,0.995,0.74982,0.97604,0.4338,1.02122,0.0004556,0.0004556,0.0004556
41,1055.88,0.89448,0.46776,1.02572,0.9984,1,0.995,0.7349,0.99312,0.42355,1.02485,0.000416,0.000416,0.000416
42,1080.17,0.8774,0.45737,1.00604,0.99863,1,0.995,0.74956,0.98377,0.44691,1.02512,0.0003764,0.0003764,0.0003764
43,1104.08,0.86475,0.44849,1.01583,0.99819,1,0.995,0.74215,0.99549,0.43608,1.01542,0.0003368,0.0003368,0.0003368
44,1127.04,0.88243,0.44467,1.00497,0.9927,1,0.995,0.7505,0.96303,0.43735,1.01771,0.0002972,0.0002972,0.0002972
45,1149.7,0.84113,0.42845,1.01352,0.9855,1,0.99475,0.73427,1.02264,0.43447,1.02745,0.0002576,0.0002576,0.0002576
46,1172.34,0.82684,0.42238,0.99866,0.98568,1,0.99475,0.75058,0.98513,0.42965,1.0171,0.000218,0.000218,0.000218
47,1195.12,0.83427,0.42142,0.99892,0.98459,1,0.99487,0.73671,0.99623,0.42552,1.0225,0.0001784,0.0001784,0.0001784
48,1218.35,0.83146,0.42445,1.00129,0.98505,1,0.99487,0.75067,0.9635,0.4171,1.0174,0.0001388,0.0001388,0.0001388
49,1242.7,0.82596,0.4187,0.99646,0.98598,1,0.99487,0.76104,0.95793,0.41216,1.0157,9.92e-05,9.92e-05,9.92e-05
50,1266.98,0.81274,0.41608,0.98631,0.98613,1,0.99487,0.74953,0.97793,0.41672,1.01517,5.96e-05,5.96e-05,5.96e-05
